question,option1,option2,option3,option4,answer,topic,level,type
"Identify the product at anode during electrolysis of molten Al2O3","Aluminium","Oxygen","Al2","Al³⁺","Oxygen","Electrolysis Products",2,yaq
"Predict the product at anode during electrolysis of CuCl2","Cl2","Cu","H2","Cu²⁺","Cl2","Electrolysis Products",3,yaq
"Predict the product at cathode during electrolysis of CuCl2","Cu","Cl2","H2","Cu²⁺","Cu","Electrolysis Products",3,yaq
"Which statement about electroplating is correct?","Metal deposited at cathode","Metal deposited at anode","Electrolyte is metal","All ions neutralized","Metal deposited at cathode","Applications",2,yaq
"What happens if concentrated NaCl solution is electrolyzed?","Cl2 at anode, H2 at cathode","O2 at anode","Na at cathode","No reaction","Cl2 at anode, H2 at cathode","Electrolysis Products",3,yaq
"Why is dilute H2SO4 used in electrolysis of water?","Increases conductivity","Decreases conductivity","Neutral","Acts as catalyst","Increases conductivity","Electrolyte Choice",2,yaq
"Predict what happens if NaCl(aq) is electrolyzed with graphite electrodes","Cl2 at anode, H2 at cathode","Na at cathode","O2 at anode","No reaction","Cl2 at anode, H2 at cathode","Electrolysis Products",3,yaq
"Explain why molten salts are used for extracting metals","Ions free to move","Solid metals react","Water decomposes","Electrodes neutral","Ions free to move","Advanced Electrolysis",3,yaq
"Identify the ions in NaCl solution","Na⁺ & Cl⁻","H⁺ & OH⁻","Na²⁺ & Cl⁻","Na⁺ & OH⁻","Na⁺ & Cl⁻","Electrolysis Basics",2,yaq
"Explain why anions move to anode","Attracted to positive electrode","Attracted to negative electrode","Neutral","Depends on size","Attracted to positive electrode","Ion Movement Reasoning",3,yaq
"Which gas is liberated at anode during electrolysis of molten NaCl?","Cl2","O2","H2","Na","Cl2","Electrolysis Products",2,yaq
"Which gas is liberated at cathode during electrolysis of water?","H2","O2","Cl2","Na","H2","Electrolysis Products",2,yaq
"Which is oxidized during electrolysis of CuCl2?","Cl⁻","Cu²⁺","H⁺","OH⁻","Cl⁻","Electrolysis Advanced",3,yaq
"Which is reduced during electrolysis of CuCl2?","Cu²⁺","Cl⁻","H⁺","OH⁻","Cu²⁺","Electrolysis Advanced",3,yaq
"Predict the products if MgBr2 is electrolyzed","Mg & Br2","Mg & Br","Mg2 & Br2","Mg & Br2","Mg & Br2","Electrolysis Advanced",3,yaq
"Explain why hydrogen is liberated at cathode during electrolysis of water","Cations gain electrons","Anions gain electrons","Neutral ions","Depends on electrode","Cations gain electrons","Ion Movement Reasoning",3,yaq
"Explain why oxygen is liberated at anode during electrolysis of water","Anions lose electrons","Cations lose electrons","Depends on electrolyte","Neutral ions","Anions lose electrons","Advanced Electrolysis",3,yaq
"Which of the following is an example of electroplating?","Silver plating spoon","Boiling water","Electrolysis of water","Rusting iron","Silver plating spoon","Applications",2,yaq
"Explain why ionic compounds must be molten or in solution for electrolysis","Ions free to move","Solid conducts","Metal decomposes","Electrode neutral","Ions free to move","Electrolyte Choice",3,yaq
"Predict products if CuSO4(aq) is electrolyzed using inert electrodes","Cu at cathode, O2 at anode","H2 at anode","Cu²⁺ at cathode","No reaction","Cu at cathode, O2 at anode","Electrolysis Advanced",3,yaq
"Why is graphite used as electrode in some electrolysis experiments?","Conducts electricity","Neutral","Reacts","Non-conductive","Conducts electricity","Electrode Choice",2,yaq
"Explain why Cu²⁺ ions are attracted to cathode","Cations attracted to negative electrode","Cations attracted to positive electrode","Anions move to cathode","Depends on concentration","Cations attracted to negative electrode","Ion Movement Reasoning",3,yaq

